status,paid_only,is_favor,frequency,progress,stat.question_id,stat.question__article__live,stat.question__article__slug,stat.question__article__has_video_solution,stat.question__title,stat.question__title_slug,stat.question__hide,stat.total_acs,stat.total_submitted,stat.frontend_question_id,stat.is_new_question,difficulty.level
,False,False,0,0,3386,,,,Find Edges in Shortest Paths,find-edges-in-shortest-paths,False,9294,17992,3123,False,3
,False,False,0,0,3384,,,,Minimum Number of Operations to Make Word K-Periodic,minimum-number-of-operations-to-make-word-k-periodic,False,20331,32469,3137,False,2
,False,False,0,0,3383,,,,Taking Maximum Energy From the Mystic Dungeon,taking-maximum-energy-from-the-mystic-dungeon,False,18507,51041,3147,False,2
,False,False,0,0,3382,,,,Find the Number of Subarrays Where Boundary Elements Are Maximum,find-the-number-of-subarrays-where-boundary-elements-are-maximum,False,8225,28513,3113,False,3
,False,False,0,0,3381,,,,Shortest Subarray With OR at Least K I,shortest-subarray-with-or-at-least-k-i,False,24344,60246,3095,False,1
,False,False,0,0,3380,,,,Shortest Subarray With OR at Least K II,shortest-subarray-with-or-at-least-k-ii,False,11305,38999,3097,False,2
,False,False,0,0,3379,True,score-of-a-string,False,Score of a String,score-of-a-string,False,53073,57342,3110,False,1
,False,False,0,0,3376,,,,Longest Common Suffix Queries,longest-common-suffix-queries,False,7911,18982,3093,False,3
,False,False,0,0,3375,,,,Kth Smallest Amount With Single Denomination Combination,kth-smallest-amount-with-single-denomination-combination,False,6600,43777,3116,False,3
,False,False,0,0,3374,,,,Count Alternating Subarrays,count-alternating-subarrays,False,30118,52987,3101,False,2
,False,False,0,0,3373,,,,Maximum Prime Difference,maximum-prime-difference,False,33157,56715,3115,False,2
,False,False,0,0,3372,,,,Longest Strictly Increasing or Strictly Decreasing Subarray,longest-strictly-increasing-or-strictly-decreasing-subarray,False,35882,62866,3105,False,1
,False,False,0,0,3371,,,,Harshad Number,harshad-number,False,45332,54763,3099,False,1
,False,False,0,0,3367,,,,Find the Sum of Encrypted Integers,find-the-sum-of-encrypted-integers,False,37689,51258,3079,False,1
,False,False,0,0,3364,,,,Minimum Sum of Values by Dividing Array,minimum-sum-of-values-by-dividing-array,False,3749,13576,3117,False,3
,False,False,0,0,3363,,,,Most Frequent IDs,most-frequent-ids,False,17644,41669,3092,False,2
,False,False,0,0,3362,,,,Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,False,4124,15089,3134,False,3
,False,False,0,0,3361,,,,Latest Time You Can Obtain After Replacing Characters,latest-time-you-can-obtain-after-replacing-characters,False,29528,84030,3114,False,1
,False,False,0,0,3360,,,,Minimum Deletions to Make String K-Special,minimum-deletions-to-make-string-k-special,False,17974,40656,3085,False,2
,False,False,0,0,3356,,,,Shortest Uncommon Substring in an Array,shortest-uncommon-substring-in-an-array,False,19493,43320,3076,False,2
,False,False,0,0,3355,,,,Minimum Levels to Gain More Points,minimum-levels-to-gain-more-points,False,19999,49163,3096,False,2
,False,False,0,0,3354,,,,Replace Question Marks in String to Minimize Its Value,replace-question-marks-in-string-to-minimize-its-value,False,11963,45209,3081,False,2
,False,False,0,0,3353,,,,Existence of a Substring in a String and Its Reverse,existence-of-a-substring-in-a-string-and-its-reverse,False,39512,59701,3083,False,1
,False,False,0,0,3351,True,maximize-happiness-of-selected-children,False,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,False,166160,301160,3075,False,2
,False,False,0,0,3350,,,,Distribute Elements Into Two Arrays II,distribute-elements-into-two-arrays-ii,False,9102,34374,3072,False,3
,False,False,0,0,3349,,,,Maximum Length Substring With Two Occurrences,maximum-length-substring-with-two-occurrences,False,33514,52752,3090,False,1
,False,False,0,0,3348,,,,Minimum Cost Walk in Weighted Graph,minimum-cost-walk-in-weighted-graph,False,10197,22142,3108,False,3
,False,False,0,0,3347,,,,Distribute Elements Into Two Arrays I,distribute-elements-into-two-arrays-i,False,38261,53343,3069,False,1
,False,False,0,0,3346,,,,Lexicographically Smallest String After Operations With Constraint,lexicographically-smallest-string-after-operations-with-constraint,False,22914,36036,3106,False,2
,False,False,0,0,3345,,,,Find the Sum of the Power of All Subsequences,find-the-sum-of-the-power-of-all-subsequences,False,6251,16156,3082,False,3
,False,False,0,0,3344,,,,Minimize Manhattan Distances,minimize-manhattan-distances,False,7314,22957,3102,False,3
,False,False,0,0,3338,,,,Count Submatrices with Top-Left Element and Sum Less Than k,count-submatrices-with-top-left-element-and-sum-less-than-k,False,24200,40980,3070,False,2
,False,False,0,0,3337,,,,Count Substrings Starting and Ending with Given Character,count-substrings-starting-and-ending-with-given-character,False,33704,69148,3084,False,2
,False,False,0,0,3336,,,,Water Bottles II,water-bottles-ii,False,28638,45586,3100,False,2
,False,False,0,0,3335,,,,Minimum Operations to Write the Letter Y on a Grid,minimum-operations-to-write-the-letter-y-on-a-grid,False,15803,25448,3071,False,2
,False,False,0,0,3334,,,,Apple Redistribution into Boxes,apple-redistribution-into-boxes,False,40882,61988,3074,False,1
,False,False,0,0,3332,,,,Minimum Operations to Exceed Threshold Value II,minimum-operations-to-exceed-threshold-value-ii,False,26290,97111,3066,False,2
,False,False,0,0,3331,,,,Minimum Operations to Exceed Threshold Value I,minimum-operations-to-exceed-threshold-value-i,False,47248,55464,3065,False,1
,False,False,0,0,3330,,,,Modify the Matrix,modify-the-matrix,False,34951,51524,3033,False,1
,False,False,0,0,3329,,,,Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,False,19529,59735,3043,False,2
,False,False,0,0,3328,,,,Apply Operations to Make Sum of Array Greater Than or Equal to k,apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,False,25670,57402,3091,False,2
,False,False,0,0,3327,,,,Minimum Moves to Pick K Ones,minimum-moves-to-pick-k-ones,False,2518,10654,3086,False,3
,False,False,0,0,3326,,,,Count Pairs of Connectable Servers in a Weighted Tree Network,count-pairs-of-connectable-servers-in-a-weighted-tree-network,False,10831,18870,3067,False,2
,False,False,0,0,3325,,,,Find the Largest Area of Square Inside Two Rectangles,find-the-largest-area-of-square-inside-two-rectangles,False,18374,40953,3047,False,2
,False,False,0,0,3324,,,,Split the Array,split-the-array,False,42401,73531,3046,False,1
,False,False,0,0,3321,,,,Type of Triangle,type-of-triangle,False,38775,101534,3024,False,1
,False,False,0,0,3320,,,,Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,False,30492,59330,3038,False,1
,False,False,0,0,3318,,,,Maximum Number of Operations With the Same Score II,maximum-number-of-operations-with-the-same-score-ii,False,16677,52075,3040,False,2
,False,False,0,0,3317,,,,Maximum Palindromes After Operations,maximum-palindromes-after-operations,False,13407,31830,3035,False,2
,False,False,0,0,3316,,,,Find the Sum of Subsequence Powers,find-the-sum-of-subsequence-powers,False,3928,16120,3098,False,3
,False,False,0,0,3314,,,,Most Frequent Prime,most-frequent-prime,False,14345,29927,3044,False,2
,False,False,0,0,3313,,,,Maximum Strength of K Disjoint Subarrays,maximum-strength-of-k-disjoint-subarrays,False,5548,19941,3077,False,3
,False,False,0,0,3312,,,,Number of Changing Keys,number-of-changing-keys,False,42235,52558,3019,False,1
,False,False,0,0,3311,,,,Ant on the Boundary,ant-on-the-boundary,False,41044,54890,3028,False,1
,False,False,0,0,3310,,,,Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,False,2590,12339,3017,False,3
,False,False,0,0,3309,,,,Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,False,32989,51414,3042,False,1
,False,False,0,0,3308,,,,Apply Operations to Make String Empty,apply-operations-to-make-string-empty,False,23955,42448,3039,False,2
,False,False,0,0,3307,True,find-the-maximum-sum-of-node-values,False,Find the Maximum Sum of Node Values,find-the-maximum-sum-of-node-values,False,5551,13793,3068,False,3
,False,False,0,0,3306,,,,Mark Elements on Array by Performing Queries,mark-elements-on-array-by-performing-queries,False,16817,34520,3080,False,2
,False,False,0,0,3305,,,,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,False,7201,30555,3045,False,3
,False,False,0,0,3303,,,,Find Beautiful Indices in the Given Array II,find-beautiful-indices-in-the-given-array-ii,False,9249,38896,3008,False,3
,False,False,0,0,3299,,,,Find the Maximum Number of Elements in Subset,find-the-maximum-number-of-elements-in-subset,False,18656,76530,3020,False,2
,False,False,0,0,3298,,,,Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,False,6733,21554,3041,False,3
,False,False,0,0,3297,,,,Minimum Time to Revert Word to Initial State I,minimum-time-to-revert-word-to-initial-state-i,False,18311,45801,3029,False,2
,False,False,0,0,3296,,,,Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,False,10240,28783,3031,False,3
,False,False,0,0,3292,,,,Earliest Second to Mark Indices I,earliest-second-to-mark-indices-i,False,7425,21396,3048,False,2
,False,False,0,0,3291,,,,Find if Array Can Be Sorted,find-if-array-can-be-sorted,False,21426,42054,3011,False,2
,False,False,0,0,3290,,,,Number of Subarrays That Match a Pattern II,number-of-subarrays-that-match-a-pattern-ii,False,10234,32011,3036,False,3
,False,False,0,0,3289,,,,Earliest Second to Mark Indices II,earliest-second-to-mark-indices-ii,False,2024,9152,3049,False,3
,False,False,0,0,3279,,,,Alice and Bob Playing Flower Game,alice-and-bob-playing-flower-game,False,18571,39144,3021,False,2
,False,False,0,0,3278,,,,Find the Number of Ways to Place People I,find-the-number-of-ways-to-place-people-i,False,12985,31933,3025,False,2
,False,False,0,0,3277,,,,Find the Number of Ways to Place People II,find-the-number-of-ways-to-place-people-ii,False,8344,17325,3027,False,3
,False,False,0,0,3276,,,,Minimum Number of Pushes to Type Word II,minimum-number-of-pushes-to-type-word-ii,False,22080,31465,3016,False,2
,False,False,0,0,3275,,,,Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,False,30980,48828,3014,False,1
,False,False,0,0,3272,,,,Find the Grid of Region Average,find-the-grid-of-region-average,False,9151,20906,3030,False,2
,False,False,0,0,3271,,,,Count the Number of Houses at a Certain Distance I,count-the-number-of-houses-at-a-certain-distance-i,False,17100,31108,3015,False,2
,False,False,0,0,3270,,,,Minimum Moves to Capture The Queen,minimum-moves-to-capture-the-queen,False,15884,78081,3001,False,2
,False,False,0,0,3269,,,,Number of Subarrays That Match a Pattern I,number-of-subarrays-that-match-a-pattern-i,False,23997,36320,3034,False,2
,False,False,0,0,3267,,,,Find Longest Special Substring That Occurs Thrice I,find-longest-special-substring-that-occurs-thrice-i,False,19193,45493,2981,False,2
,False,False,0,0,3266,,,,Find Longest Special Substring That Occurs Thrice II,find-longest-special-substring-that-occurs-thrice-ii,False,15262,45915,2982,False,2
,False,False,0,0,3265,,,,Maximum Good Subarray Sum,maximum-good-subarray-sum,False,15214,85831,3026,False,2
,False,False,0,0,3263,,,,Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,False,30174,46084,3010,False,1
,False,False,0,0,3262,True,find-polygon-with-the-largest-perimeter,False,Find Polygon With the Largest Perimeter,find-polygon-with-the-largest-perimeter,False,128953,195150,2971,False,2
,False,False,0,0,3261,,,,Minimize OR of Remaining Elements Using Operations,minimize-or-of-remaining-elements-using-operations,False,2748,8183,3022,False,3
,False,False,0,0,3260,,,,Divide an Array Into Subarrays With Minimum Cost II,divide-an-array-into-subarrays-with-minimum-cost-ii,False,4386,13955,3013,False,3
,False,False,0,0,3252,,,,Count the Number of Incremovable Subarrays I,count-the-number-of-incremovable-subarrays-i,False,17564,34764,2970,False,1
,False,False,0,0,3251,,,,Maximum Area of Longest Diagonal Rectangle,maximum-area-of-longest-diagonal-rectangle,False,31763,89423,3000,False,1
,False,False,0,0,3250,,,,Maximum Square Area by Removing Fences From a Field,maximum-square-area-by-removing-fences-from-a-field,False,13055,58055,2975,False,2
,False,False,0,0,3249,True,minimum-number-of-operations-to-make-array-xor-equal-to-k,False,Minimum Number of Operations to Make Array XOR Equal to K,minimum-number-of-operations-to-make-array-xor-equal-to-k,False,104362,120572,2997,False,2
,False,False,0,0,3248,,,,Count the Number of Incremovable Subarrays II,count-the-number-of-incremovable-subarrays-ii,False,6369,16386,2972,False,3
,False,False,0,0,3246,,,,Check if Bitwise OR Has Trailing Zeros,check-if-bitwise-or-has-trailing-zeros,False,29964,42835,2980,False,1
,False,False,0,0,3245,,,,Find Beautiful Indices in the Given Array I,find-beautiful-indices-in-the-given-array-i,False,23521,65432,3006,False,2
,False,False,0,0,3244,,,,Minimize Length of Array Using Operations,minimize-length-of-array-using-operations,False,12857,36850,3012,False,2
,False,False,0,0,3243,,,,Count the Number of Powerful Integers,count-the-number-of-powerful-integers,False,4156,16032,2999,False,3
,False,False,0,0,3242,True,count-elements-with-maximum-frequency,False,Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,False,193712,244628,3005,False,1
,False,False,0,0,3241,True,divide-array-into-arrays-with-max-difference,False,Divide Array Into Arrays With Max Difference,divide-array-into-arrays-with-max-difference,False,146331,204996,2966,False,2
,False,False,0,0,3240,,,,Maximum Number That Sum of the Prices Is Less Than or Equal to K,maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,False,7846,22058,3007,False,2
,False,False,0,0,3239,,,,Minimum Number of Operations to Make X and Y Equal,minimum-number-of-operations-to-make-x-and-y-equal,False,15871,35622,2998,False,2
,False,False,0,0,3238,,,,Minimum Cost to Convert String II,minimum-cost-to-convert-string-ii,False,4028,16430,2977,False,3
,False,False,0,0,3236,,,,Smallest Missing Integer Greater Than Sequential Prefix Sum,smallest-missing-integer-greater-than-sequential-prefix-sum,False,26387,83018,2996,False,1
,False,False,0,0,3235,,,,Minimum Cost to Convert String I,minimum-cost-to-convert-string-i,False,13480,34189,2976,False,2
,False,False,0,0,3234,,,,Double Modular Exponentiation,double-modular-exponentiation,False,19827,41782,2961,False,2
,False,False,0,0,3233,,,,Maximize the Number of Partitions After Operations,maximize-the-number-of-partitions-after-operations,False,2853,10359,3003,False,3
,False,False,0,0,3231,,,,Minimum Number of Coins to be Added,minimum-number-of-coins-to-be-added,False,14867,27664,2952,False,2
,False,False,0,0,3230,,,,Remove Adjacent Almost-Equal Characters,remove-adjacent-almost-equal-characters,False,20256,39079,2957,False,2
,False,False,0,0,3229,,,,Minimum Cost to Make Array Equalindromic,minimum-cost-to-make-array-equalindromic,False,11987,55114,2967,False,2
,False,False,0,0,3228,,,,Maximum Size of a Set After Removals,maximum-size-of-a-set-after-removals,False,14147,31568,3002,False,2
,False,False,0,0,3227,,,,Find Missing and Repeated Values,find-missing-and-repeated-values,False,40968,54587,2965,False,1
,False,False,0,0,3226,,,,Minimum Number Game,minimum-number-game,False,64582,75620,2974,False,1
,False,False,0,0,3225,True,length-of-longest-subarray-with-at-most-k-frequency,False,Length of Longest Subarray With at Most K Frequency,length-of-longest-subarray-with-at-most-k-frequency,False,138985,249465,2958,False,2
,False,False,0,0,3224,,,,Count the Number of Infection Sequences,count-the-number-of-infection-sequences,False,2847,7835,2954,False,3
,False,False,0,0,3223,,,,Count Complete Substrings,count-complete-substrings,False,5958,22657,2953,False,3
,False,False,0,0,3221,,,,Find the Peaks,find-the-peaks,False,40582,54006,2951,False,1
,False,False,0,0,3220,,,,Count Tested Devices After Test Operations,count-tested-devices-after-test-operations,False,35847,44388,2960,False,1
,False,False,0,0,3219,,,,Make Lexicographically Smallest Array by Swapping Elements,make-lexicographically-smallest-array-by-swapping-elements,False,8208,21108,2948,False,2
,False,False,0,0,3218,,,,Find Number of Coins to Place in Tree Nodes,find-number-of-coins-to-place-in-tree-nodes,False,6618,18546,2973,False,3
,False,False,0,0,3217,,,,Number of Possible Sets of Closing Branches,number-of-possible-sets-of-closing-branches,False,6119,12086,2959,False,3
,False,False,0,0,3215,,,,Matrix Similarity After Cyclic Shifts,matrix-similarity-after-cyclic-shifts,False,20957,36378,2946,False,1
,False,False,0,0,3214,,,,Maximize Area of Square Hole in Grid,maximize-area-of-square-hole-in-grid,False,10845,30040,2943,False,2
,False,False,0,0,3213,True,count-subarrays-where-max-element-appears-at-least-k-times,False,Count Subarrays Where Max Element Appears at Least K Times,count-subarrays-where-max-element-appears-at-least-k-times,False,124782,211002,2962,False,2
,False,False,0,0,3212,,,,Count the Number of Good Partitions,count-the-number-of-good-partitions,False,9489,19288,2963,False,3
,False,False,0,0,3211,,,,Find Maximum Non-decreasing Array Length,find-maximum-non-decreasing-array-length,False,3177,20324,2945,False,3
,False,False,0,0,3210,,,,Count Beautiful Substrings I,count-beautiful-substrings-i,False,18756,30491,2947,False,2
,False,False,0,0,3209,,,,Minimum Number of Coins for Fruits,minimum-number-of-coins-for-fruits,False,13553,30691,2944,False,2
,False,False,0,0,3208,,,,Count Beautiful Substrings II,count-beautiful-substrings-ii,False,4569,18390,2949,False,3
,False,False,0,0,3207,,,,Make Three Strings Equal,make-three-strings-equal,False,25817,60669,2937,False,1
,False,False,0,0,3206,,,,Find Common Elements Between Two Arrays,find-common-elements-between-two-arrays,False,47502,57470,2956,False,1
,False,False,0,0,3203,,,,Palindrome Rearrangement Queries,palindrome-rearrangement-queries,False,2815,11097,2983,False,3
,False,False,0,0,3202,,,,High-Access Employees,high-access-employees,False,20246,46148,2933,False,2
,False,False,0,0,3201,,,,Distribute Candies Among Children II,distribute-candies-among-children-ii,False,11507,33038,2929,False,2
,False,False,0,0,3200,,,,Number of Strings Which Can Be Rearranged to Contain Substring,number-of-strings-which-can-be-rearranged-to-contain-substring,False,5713,10314,2930,False,2
,False,False,0,0,3199,,,,Distribute Candies Among Children I,distribute-candies-among-children-i,False,22836,30398,2928,False,1
,False,False,0,0,3197,,,,Maximum Strong Pair XOR II,maximum-strong-pair-xor-ii,False,5693,19107,2935,False,3
,False,False,0,0,3196,,,,Apply Operations to Maximize Frequency Score,apply-operations-to-maximize-frequency-score,False,5753,14728,2968,False,3
,False,False,0,0,3195,,,,Separate Black and White Balls,separate-black-and-white-balls,False,22047,41790,2938,False,2
,False,False,0,0,3194,,,,Find Words Containing Character,find-words-containing-character,False,106528,120735,2942,False,1
,False,False,0,0,3193,,,,Maximum Strong Pair XOR I,maximum-strong-pair-xor-i,False,31855,42040,2932,False,1
,False,False,0,0,3192,,,,Maximum Xor Product,maximum-xor-product,False,8113,31773,2939,False,2
,False,False,0,0,3191,,,,Maximum Score After Applying Operations on a Tree,maximum-score-after-applying-operations-on-a-tree,False,11663,23960,2925,False,2
,False,False,0,0,3190,,,,Minimum Operations to Maximize Last Elements in Arrays,minimum-operations-to-maximize-last-elements-in-arrays,False,11543,25901,2934,False,2
,False,False,0,0,3189,,,,Find Champion II,find-champion-ii,False,23934,41565,2924,False,2
,False,False,0,0,3188,,,,Find Champion I,find-champion-i,False,33804,46363,2923,False,1
,False,False,0,0,3186,,,,Minimum Sum of Mountain Triplets II,minimum-sum-of-mountain-triplets-ii,False,22365,41467,2909,False,2
,False,False,0,0,3184,,,,Maximum Balanced Subsequence Sum,maximum-balanced-subsequence-sum,False,5048,21537,2926,False,3
,False,False,0,0,3183,,,,Find the K-or of an Array,find-the-k-or-of-an-array,False,23829,31913,2917,False,1
,False,False,0,0,3181,,,,Find Building Where Alice and Bob Can Meet,find-building-where-alice-and-bob-can-meet,False,6175,17693,2940,False,3
,False,False,0,0,3179,,,,Maximum Points After Collecting Coins From All Nodes,maximum-points-after-collecting-coins-from-all-nodes,False,6923,18602,2920,False,3
,False,False,0,0,3178,,,,Minimum Increment Operations to Make Array Beautiful,minimum-increment-operations-to-make-array-beautiful,False,12786,37618,2919,False,2
,False,False,0,0,3176,,,,Minimum Sum of Mountain Triplets I,minimum-sum-of-mountain-triplets-i,False,31985,49599,2908,False,1
,False,False,0,0,3174,,,,Minimum Number of Changes to Make Binary String Beautiful,minimum-number-of-changes-to-make-binary-string-beautiful,False,18040,30339,2914,False,2
,False,False,0,0,3172,,,,Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,False,71676,81021,2894,False,1
,False,False,0,0,3171,,,,Minimum Equal Sum of Two Arrays After Replacing Zeros,minimum-equal-sum-of-two-arrays-after-replacing-zeros,False,23234,67989,2918,False,2
,False,False,0,0,3170,,,,Find Indices With Index and Value Difference II,find-indices-with-index-and-value-difference-ii,False,17082,53203,2905,False,2
,False,False,0,0,3166,,,,Minimum Number of Groups to Create a Valid Assignment,minimum-number-of-groups-to-create-a-valid-assignment,False,11945,47690,2910,False,2
,False,False,0,0,3165,,,,Find Indices With Index and Value Difference I,find-indices-with-index-and-value-difference-i,False,36626,59001,2903,False,1
,False,False,0,0,3164,,,,Last Visited Integers,last-visited-integers,False,24993,38006,2899,False,1
,False,False,0,0,3163,,,,Subarrays Distinct Element Sum of Squares I,subarrays-distinct-element-sum-of-squares-i,False,29906,36266,2913,False,1
,False,False,0,0,3154,,,,Maximum Value of an Ordered Triplet I,maximum-value-of-an-ordered-triplet-i,False,35486,78354,2873,False,1
,False,False,0,0,3153,,,,Apply Operations on Array to Maximize Sum of Squares,apply-operations-on-array-to-maximize-sum-of-squares,False,6482,13771,2897,False,3
,False,False,0,0,3152,,,,Maximum Value of an Ordered Triplet II,maximum-value-of-an-ordered-triplet-ii,False,24852,60226,2874,False,2
,False,False,0,0,3151,,,,Minimum Processing Time,minimum-processing-time,False,30765,44893,2895,False,2
,False,False,0,0,3150,,,,Shortest and Lexicographically Smallest Beautiful String,shortest-and-lexicographically-smallest-beautiful-string,False,24070,62391,2904,False,2
,False,False,0,0,3143,,,,Longest Unequal Adjacent Groups Subsequence I,longest-unequal-adjacent-groups-subsequence-i,False,23751,37209,2900,False,1
,False,False,0,0,3142,,,,Longest Unequal Adjacent Groups Subsequence II,longest-unequal-adjacent-groups-subsequence-ii,False,10235,37770,2901,False,2
,False,False,0,0,3141,,,,Minimum Size Subarray in Infinite Array,minimum-size-subarray-in-infinite-array,False,18290,59553,2875,False,2
,False,False,0,0,3140,,,,Count Visited Nodes in a Directed Graph,count-visited-nodes-in-a-directed-graph,False,9447,29055,2876,False,3
,False,False,0,0,3139,,,,Subarrays Distinct Element Sum of Squares II,subarrays-distinct-element-sum-of-squares-ii,False,2764,13807,2916,False,3
,False,False,0,0,3114,,,,Beautiful Towers I,beautiful-towers-i,False,22461,51781,2865,False,2
,False,False,0,0,3113,,,,Beautiful Towers II,beautiful-towers-ii,False,12348,35820,2866,False,2
,False,False,0,0,3112,,,,Count Valid Paths in a Tree,count-valid-paths-in-a-tree,False,6180,17901,2867,False,3
,False,False,0,0,3107,,,,Maximum Spending After Buying Items,maximum-spending-after-buying-items,False,9452,14539,2931,False,3
,False,False,0,0,3106,,,,Length of the Longest Subsequence That Sums to Target,length-of-the-longest-subsequence-that-sums-to-target,False,17911,51619,2915,False,2
,False,False,0,0,3105,,,,Minimum Edge Reversals So Every Node Is Reachable,minimum-edge-reversals-so-every-node-is-reachable,False,7329,12523,2858,False,3
,False,False,0,0,3104,,,,Happy Students,happy-students,False,20991,40438,2860,False,2
,False,False,0,0,3095,,,,Maximum Number of Alloys,maximum-number-of-alloys,False,13354,35252,2861,False,2
,False,False,0,0,3094,True,minimum-number-of-operations-to-make-array-empty,False,Minimum Number of Operations to Make Array Empty,minimum-number-of-operations-to-make-array-empty,False,171110,276021,2870,False,2
,False,False,0,0,3093,,,,Sum of Values at Indices With K Set Bits,sum-of-values-at-indices-with-k-set-bits,False,63210,73196,2859,False,1
,False,False,0,0,3092,,,,Minimum Moves to Spread Stones Over Grid,minimum-moves-to-spread-stones-over-grid,False,20177,46236,2850,False,2
,False,False,0,0,3091,,,,Count of Sub-Multisets With Bounded Sum,count-of-sub-multisets-with-bounded-sum,False,3735,18407,2902,False,3
,False,False,0,0,3081,,,,Minimum Array Length After Pair Removals,minimum-array-length-after-pair-removals,False,20960,97962,2856,False,2
,False,False,0,0,3080,,,,Split Array Into Maximum Number of Subarrays,split-array-into-maximum-number-of-subarrays,False,15516,35498,2871,False,2
,False,False,0,0,3079,,,,Minimum Edge Weight Equilibrium Queries in a Tree,minimum-edge-weight-equilibrium-queries-in-a-tree,False,5415,12374,2846,False,3
,False,False,0,0,3076,True,get-the-size-of-a-dataframe,False,Get the Size of a DataFrame,get-the-size-of-a-dataframe,False,57379,67788,2878,False,1
,False,False,0,0,3075,True,drop-missing-data,False,Drop Missing Data,drop-missing-data,False,36853,57554,2883,False,1
,False,False,0,0,3074,True,select-data,False,Select Data,select-data,False,47640,60828,2880,False,1
,False,False,0,0,3073,True,reshape-data-melt,False,Reshape Data: Melt,reshape-data-melt,False,26827,31654,2890,False,1
,False,False,0,0,3072,True,reshape-data-pivot,False,Reshape Data: Pivot,reshape-data-pivot,False,28228,35217,2889,False,1
